filename,genre,zcr_mean,zcr_std,chroma_stft_mean,chroma_stft_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std
Feels Like Home - Fabian Measures,Ambient,0.06638450383135586,0.031312585779205496,0.31311592,0.2887868,1253.7519255725706,440.0389506032866,2573.7444862127613,1174.1664658222403,1636.5145059567421,493.0448305028882,-185.02786,92.185776,147.43037,32.9693,2.5158856,19.65763,26.46188,18.172337,-7.592526,11.251252,10.88218,10.876832,-0.39801937,8.373335,13.015944,10.770157,-0.7340803,8.956125,-9.011338,13.988579,-14.861794,11.000503,-3.6183422,9.485338
Get Back Up - Silent Partner,Ambient,0.04796853080253483,0.051215450862072645,0.30644754,0.29719177,965.0354614780139,494.4977126916487,1810.6307180304277,1027.5232777344856,1098.1609424892292,272.01195831044487,-248.95122,77.08413,171.46356,25.36104,-32.400326,32.023136,44.499046,28.574673,10.14195,15.777649,2.78614,7.0589714,5.5422554,7.750722,-7.6864076,9.263456,-2.3032808,8.931564,-2.0800123,10.060217,0.24512012,8.432665,-1.8481345,7.729595
Humajataritee - Janneh,Ambient,0.04060783386230469,0.030098341730323518,0.3252268,0.2878935,797.8352813319383,602.8193112789903,1422.6213455200195,1541.5211687326257,1119.5531905619782,664.5028003706294,-400.68613,74.900764,174.29326,69.29782,48.239754,28.479317,2.3200958,19.063948,4.8327703,9.851271,4.190365,6.408654,-4.0644245,6.159026,-9.880003,7.133671,-10.290994,7.242882,-4.3399553,6.7725625,1.2184776,4.719421,-0.18609628,4.55115
Kiitos - Janneh,Ambient,0.04060783386230469,0.030098341730323518,0.3252268,0.2878935,797.8352813319383,602.8193112789903,1422.6213455200195,1541.5211687326257,1119.5531905619782,664.5028003706294,-400.68613,74.900764,174.29326,69.29782,48.239754,28.479317,2.3200958,19.063948,4.8327703,9.851271,4.190365,6.408654,-4.0644245,6.159026,-9.880003,7.133671,-10.290994,7.242882,-4.3399553,6.7725625,1.2184776,4.719421,-0.18609628,4.55115
Krakens Eye - Phloxs,Ambient,0.07110595703125,0.0554846956352389,0.42601675,0.2963912,1771.620912300846,869.8920129453844,3846.6184066914184,2067.5146108866847,2108.072817871985,626.704191816258,-163.79726,49.973286,121.00704,34.415794,-9.06134,23.89179,20.749075,18.249857,3.373244,18.527569,23.576874,15.073126,7.831555,13.1374235,18.269659,12.174304,-2.631666,10.03247,0.9681505,9.538313,-7.754672,8.630971,3.7748222,8.429175
Levity - Johny Grimes,Ambient,0.06757894451011398,0.10960216025475937,0.31267914,0.29248825,1276.912391927763,1143.5041232462777,2520.891064966848,1941.142472864307,1444.7143590852725,653.7771803498443,-202.4746,95.295296,147.11842,46.101616,-2.216354,31.850145,31.575632,18.786798,6.7698216,17.0906,6.1002893,15.004678,-5.5184417,10.643844,-2.9412086,13.504549,-4.311567,10.524639,2.0348306,9.988631,-3.0356426,9.943435,1.1703151,9.828679
Liberosis - Nihilore,Ambient,0.040094356725711634,0.008215762907240234,0.2587867,0.28997433,524.8373702633943,66.96709157286061,857.2906494140625,210.30423266283236,505.0862315220297,112.57585617693617,-334.76755,29.462364,224.73471,15.824273,25.080011,18.322134,4.788439,13.810413,25.025406,22.854946,-11.84865,11.219988,-23.203588,7.614176,-6.6239038,9.173626,-8.952116,9.642294,-10.670301,8.422787,-9.565688,13.769861,-19.375135,13.194152
Lightness - Nomyn,Ambient,0.06238114206414474,0.04213212763907363,0.3564768,0.3018411,1311.5245319014157,803.3300017935694,2475.076700216476,2016.5678802466823,1593.9320189199361,784.9553237656502,-168.23988,116.78588,151.78075,43.352936,7.1870594,22.689848,-7.87102,37.3603,-17.476166,23.63463,-8.9285,22.067398,-8.609373,12.855896,2.0529015,17.646688,-10.067975,12.843988,-6.640205,14.825512,-16.232971,15.097418,-5.444834,14.526047
Like Summer Tempests Came His Tears - Blear Moon,Ambient,0.0687799549767622,0.03462307855390315,0.31435484,0.29311502,1748.6203430624576,457.09803686279736,3745.351248577895,1265.0379803233102,2350.500645099225,280.37619604823215,-165.84103,42.083454,125.229546,18.954294,16.21219,8.636022,9.153892,12.813281,-4.141299,7.754035,10.886139,5.7969766,-2.1301415,5.4068804,8.138279,6.0272446,-5.662423,6.7288275,7.2877593,6.0991383,-9.879424,6.438472,4.4525137,6.6429553
Psalms - Miguel Johnson,Ambient,0.06678436562741873,0.027052135380570053,0.18031031,0.2931844,1046.1441992530038,500.4361487139018,1763.28517098914,1148.4927089290948,1105.370734166414,461.9720836929521,-378.2242,100.378494,134.54341,26.474167,16.222494,31.530304,-0.0038503169,24.707365,-11.579996,7.441948,-2.9257796,6.481247,-8.829644,7.8272934,-8.565698,9.522735,-7.2751055,8.112361,7.1642537,9.348381,15.710108,20.114265,15.252437,16.14694
Rain and Tears - Neutrin05,Ambient,0.06569735952667584,0.09580467559762668,0.35418767,0.31498212,1438.3052849022895,1062.8377350910887,2642.4151817064608,2136.9386177936367,1818.1776593870663,516.3559813956128,-242.77731,100.23973,126.778404,47.37098,16.675163,25.973654,21.988506,18.574661,-3.3751564,12.729929,3.8310516,12.081806,-9.206343,11.1343775,1.4561992,12.542751,-5.3508,8.443836,0.12749325,10.380524,-5.048027,9.523395,-3.4972005,9.541237
Slowmotion,Ambient,0.03692475614972512,0.018774902987659044,0.27761257,0.29617277,604.0339586277901,361.0523881621902,1111.2587203645658,895.8003099162756,742.9338176444268,452.602793455033,-264.5066,71.62084,192.95782,30.64143,25.510761,29.626547,3.962823,20.249224,11.878324,11.6812105,14.138046,12.891636,4.626501,12.1020565,2.4722638,9.938512,1.6362679,8.882038,-0.7245622,10.227324,-5.352923,10.447293,-7.5709376,10.079922
Spicy - SPCZ,Ambient,0.16172683137567673,0.08288325004491284,0.48763764,0.28151023,3528.8364205370776,974.3667504914931,7136.2334142981435,1712.0849339047893,2891.672988377,491.92152233705775,-19.637747,51.17942,41.391617,32.616623,-16.695576,25.96033,16.67429,19.84162,7.393256,13.01481,15.767048,12.692842,3.705104,9.604051,15.81571,12.555898,-4.209174,11.806631,6.550431,8.587364,-3.767236,9.914022,11.1628685,7.758115
Subtle Library - Fabian Measures,Ambient,0.02576857844666251,0.011285510749258276,0.21074678,0.2977004,598.2559630828612,205.36988352017957,843.9323058815502,417.1768458031323,1022.6424009522455,334.7938319991132,-318.51215,47.30086,147.70796,22.586647,27.543945,17.918182,27.134571,13.957257,13.307673,12.5607195,2.625036,11.348694,8.754576,11.270038,4.921604,13.684864,-12.682209,7.0949087,-6.6030984,8.889201,-7.428553,8.938795,-18.438763,8.4970255
Symmetrical - Tiruset,Ambient,0.11310424331913245,0.09521076795637999,0.5157077,0.30053166,3129.016798857148,1304.5835485663233,6175.092172068648,1966.1849356411656,2690.6689923952417,444.0890762012265,-263.0533,84.98493,39.97357,39.109844,37.923744,22.83433,71.34932,7.828365,9.6134615,6.824515,27.808098,7.7426996,-9.038886,7.8112187,18.993177,8.28177,-2.9504108,6.538609,11.500385,7.564852,-14.404743,6.189498,5.0788503,5.0067444
The Idea of Space - Lee Rosevere,Ambient,0.04470523041073639,0.007969727101894095,0.24847865,0.29163998,631.2896205172779,62.99697933277312,940.258773954788,175.73840228316598,737.5745219089574,145.5077211049577,-399.04047,65.413795,195.09814,34.25367,31.393671,29.011518,-8.929293,14.48788,3.4507968,14.446539,-5.850696,8.213522,-14.871997,6.9187016,-15.613002,7.5927353,-16.20825,6.9457674,-11.776598,6.495898,-4.0422673,5.5641384,-2.8181002,6.598907
